code,name,main_function,latitude,longitude,coordinate_source,source_url,related_content
2-1,공과대학 1호관,건축설계·바이오메디컬 연구·교육,35.84657120,127.13260340,naver_local_search,
2-2,공과대학 2호관,유기소재·고분자 교육·실험,35.84690040,127.13164460,naver_local_search,
2-3,공과대학 3호관,기계공학 강의·학생지원,35.84692950,127.13350330,naver_local_search,
2-4,공과대학 4호관,기계·에너지·정보소재 교육연구,35.84751540,127.13232500,naver_local_search,
2-5,공과대학 5호관,소프트웨어 교육·개발·연구,35.84756270,127.13134100,naver_local_search,
2-6,공과대학 6호관,산업·환경공학 교육·실험,35.84705450,127.13437820,naver_local_search,
2-7,공과대학 7호관,컴퓨터·정보보호·분산시스템 연구,35.84603790,127.13439070,naver_local_search,
2-8,공과대학 8호관(자동차산학협동관),자동차·공동실험·반도체설계교육,35.848274,127.133558,,
2-9,공과대학 9호관,도시설계 교육·학과행정,35.84761720,127.13364210,naver_local_search,
2-23,대형풍동센터,대형 풍동 실험·연구,35.84912500,127.12601380,naver_local_search,
17-1,자연사박물관,"자연사 표본, 학술 연구·보존, 전시·교육",35.84593640,127.12751500,naver_local_search,
1-26,동아리전용관,"학생 동아리, 자치·교류, 연습·창작",35.84860710,127.12851240,naver_local_search,
2-20,공대공장동,"공작 실습, 시험편·실험장치 제작, 기자재 보수",35.84657180,127.13494010,naver_local_search,
,창조1관,"창업 지원, 창업교육·사업화, 창업지원단 행정",35.84761280,127.13545310,naver_local_search,
,정보혁신처 본동,"대학 정보시스템, 네트워크·전산 인프라, 정보보안·이용자 지원",35.84396540,127.13485000,naver_local_search,
,정보화교육동,"컴퓨터 실습, 정보화 강의, 시청각 교육",35.84375040,127.13530770,naver_local_search,
1-10,건지원,"지역혁신사업, 공유대학·융합교육, 학생지원·편의",35.84349650,127.13466580,naver_local_search,
1-23,우림인재등용관,"국가시험 준비, 학습·강의, 휴식·생활지원",35.84302870,127.13182800,naver_local_search,
1-1,대학본부,"대학 행정, 정책·기획, 학사·재정·인사",35.84423320,127.13145840,naver_local_search,
4-2,법학도서관,"법학자료, 대출·정보서비스, 연구·학습",35.84484870,127.13311250,naver_local_search,
,중앙도서관,도서관 자료·열람·학습지원,35.84829240,127.13201710,local_coordinate_xlsx,
,한승헌도서관,"민주주의·인권, 학습·토론, 열린 인문·휴식공간",35.84467010,127.13262090,naver_local_search,
,창업보육센터 1센터,"창업기업 입주, 교육·컨설팅, 기술사업화",35.84818760,127.13290330,naver_local_search,
,창업보육센터 2센터,"창업기업 입주, 공용시설 지원, 기업 성장지원",35.84571440,127.13313370,naver_local_search,
21-5,참빛관 기숙사,지원시설,35.85025320,127.12612860,naver_local_search,
,기존 전주실내체육관,"실내 스포츠경기, 대규모 체육행사, 문화행사",35.84420760,127.12926380,naver_local_search,
1-11,전북대학교 체육관,"체육수업, 학생 체육활동, 훈련·경기",35.84708210,127.12532500,naver_local_search,
1-3,삼성문화회관,"공연, 전시, 문화행사·대관",35.84339870,127.13006250,naver_local_search,
,창조2관,제2도서관,35.84722370,127.13570000,naver_local_search,
,전주캠퍼스 학생실습장,학생실습장,35.84848400,127.13292730,naver_local_search,
5-1, 사회과학대학, "사회과학 교육, 심리학 실습 관찰, 대학행정, 학생지원",35.844034, 127.133835
1-5, 전대학술문화회관, "문화회관", 35.844963, 127.129967, open_street_map,,"전대학술문화회관은 전북대학교의 다양한 강연과 학생 행사가 열리는 공간입니다. 학생들을 위한 초청 강연부터 설명회, 토론회 등 여러 행사가 이곳에서 진행됩니다. 특히 대강당은 총학생회 정책토론회나 학생홍보대사 설명회처럼 많은 학생이 참여하는 행사에도 활용됩니다."
,JBNU인터내셔널센터,국제교류·언어교육·유학생지원,35.84447710,127.13029770,naver_local_search,,
